content	x	y	w	h
3	426	251	11	35
3	440	251	13	35
8	457	251	14	35
K	407	299	15	23
e	428	299	11	23
y	439	299	8	23
o	461	299	7	23
f	471	299	7	23
A	490	299	6	23
m	506	299	17	23
a	530	299	12	23
j	543	299	6	23
o	550	299	6	23
r	559	299	8	23
.	569	299	6	23
S	1078	248	17	36
A	1098	248	22	36
W	1127	248	30	36
Y	1169	248	27	36
E	1202	248	21	36
R	1225	248	20	36
S	1252	248	24	36
E	1299	248	20	36
X	1324	248	21	36
I	1351	248	19	36
T	1374	248	17	36
.	1396	248	10	36
9	1489	248	10	36
.	1503	248	10	36
8	1544	248	10	36
.	1563	248	10	36
"	842	298	6	23
P	858	298	12	23
r	874	298	9	23
e	884	298	8	23
c	896	298	8	23
i	906	298	6	23
o	913	298	8	23
u	924	298	10	23
s	938	298	11	23
i	957	298	6	23
n	965	298	5	23
t	986	298	5	23
h	992	298	8	23
e	1005	298	11	23
s	1024	298	7	23
i	1033	298	8	23
g	1043	298	7	23
h	1051	298	10	23
t	1065	298	11	23
o	1080	298	9	23
f	1092	298	9	23
t	1111	298	5	23
h	1116	298	9	23
e	1130	298	11	23
L	1149	298	11	23
o	1164	298	10	23
r	1174	298	8	23
d	1186	298	9	23
i	1207	298	5	23
s	1214	298	6	23
t	1233	298	6	23
h	1239	298	8	23
e	1252	298	11	23
d	1272	298	9	23
e	1285	298	8	23
a	1294	298	8	23
t	1307	298	7	23
h	1315	298	5	23
o	1337	298	9	23
f	1349	298	9	23
h	1362	298	12	23
i	1378	298	8	23
s	1387	298	5	23
s	1405	298	8	23
a	1415	298	7	23
i	1424	298	7	23
n	1431	298	8	23
t	1445	298	8	23
s	1454	298	6	23
.	1463	298	6	23
"	1470	298	6	23
1	1510	298	9	23
1	1523	298	7	23
6	1531	298	5	23
P	1552	298	11	23
s	1566	298	12	23
.	1578	298	6	23
1	1598	298	5	23
5	1605	298	5	23
.	1619	298	6	23
J	1899	297	7	29
o	1908	297	8	29
h	1919	297	10	29
n	1933	297	12	29
M	1952	297	16	29
a	1974	297	13	29
s	1989	297	8	29
s	1998	297	8	29
e	2010	297	8	29
n	2018	297	9	29
g	2033	297	10	29
a	2046	297	8	29
l	2055	297	8	29
e	2066	297	9	29
,	2076	297	8	29
1	2091	297	7	29
8	2100	297	7	29
5	2109	297	7	29
9	2118	297	7	29
.	2127	297	8	29
6	491	366	7	41
1	525	466	6	23
.	535	466	6	23
H	564	466	15	23
o	585	466	12	23
w	598	466	9	23
b	622	466	9	23
r	635	466	8	23
i	645	466	6	23
g	652	466	8	23
h	663	466	9	23
t	675	466	9	23
i	694	466	5	23
s	701	466	6	23
t	718	466	5	23
h	723	466	9	23
e	737	466	11	23
d	757	466	9	23
a	769	466	9	23
y	781	466	9	23
w	800	466	13	23
h	818	466	12	23
e	834	466	9	23
n	844	466	8	23
t	867	466	5	23
h	872	466	8	23
e	885	466	12	23
C	906	466	9	23
h	917	466	10	23
r	932	466	9	23
i	943	466	6	23
s	950	466	6	23
t	959	466	7	23
