content	x	y	w	h	
LOGAN.	1586	452	294	77	
Concluded	1957	464	338	54	
503	3477	457	93	54	
O	693	781	30	32	
may	742	789	82	33	
we	841	790	54	21	
in	914	782	34	30	
Thy	964	775	79	48	
bosom	1059	780	125	33	
rest,	1203	783	83	32	
The	1304	775	75	39	
bosom	1395	779	127	31	
of	1540	779	36	33	
Thy	1591	776	79	44	
love,	1688	778	91	37	
So	1802	779	47	32	
death	1868	777	105	33	
will	1991	777	70	33	
soon	2079	787	87	23	
disrobe	2184	775	139	34	
us	2342	785	41	23	
all,	2399	774	58	40	
Cf	2478	774	45	33	
what	2538	773	94	34	
we	2643	784	52	21	
here	2709	772	85	32	
possess,	2806	780	155	34	
Of	2976	772	44	31	
what	3032	770	94	34	
we	3142	780	54	23	
here	3205	769	85	34	
possess,	3305	778	153	33	
sess.	3472	778	86	25	
O	697	1299	28	32	
may	744	1309	83	32	
we	844	1309	53	21	
in	915	1301	33	29	
Thy	962	1295	78	45	
bosom	1056	1298	126	32	
rest,	1203	1302	82	32	
The	1300	1296	75	35	
bosom	1392	1297	124	31	
of	1530	1297	34	32	
Thy	1581	1296	77	42	
love,	1673	1296	90	36	
So	1778	1296	48	31	
death	1841	1295	105	32	
will	1959	1295	69	31	
soon	2041	1304	87	22	
disrobe	2143	1294	138	33	
us	2296	1304	41	22	
all,	2350	1293	57	38	
Of	2427	1292	44	34	
what	2482	1293	93	34	
we	2593	1302	53	22	
here	2665	1292	86	32	
possess,	2768	1303	154	30	
Of	2943	1291	44	32	
what	3004	1291	93	32	
we	3114	1301	54	23	
here	3181	1290	84	33	
possess,	3297	1299	153	32	
sess.	3476	1294	89	27	
John	365	1560	88	48	
Leland	472	1564	131	32	
was	619	1574	74	21	
a	707	1574	21	21	
Baptist	746	1564	134	39	
minister,	899	1562	171	37	
born	1090	1562	86	31	
in	1197	1564	34	29	
1754	1255	1561	84	34	
and	1356	1559	71	36	
died	1444	1561	78	31	
in	1539	1562	33	31	
1844.	1596	1559	92	36	
See	1738	1561	69	31	
sketch	1826	1559	125	34	
on	1971	1570	44	22	
pages	2035	1567	111	33	
85	2166	1558	42	34	
and	2226	1559	68	32	
319.	2311	1557	77	35	
See	2439	1558	70	33	
also	2526	1558	75	32	
sketch	2621	1557	124	33	
of	2764	1558	35	30	
T.	2821	1557	40	32	
J.	2878	1558	28	41	
Denson	2929	1556	142	34	
oh	3092	1562	44	26	
page	3151	1565	89	32	
526	3258	1554	65	32	
of	3342	1554	34	32	
this	3401	1553	69	32	
book.	3485	1550	103	34	
LOVE.	1642	1647	207	53	
C.	1922	1648	63	50	
M,	2036	1647	82	54	
D.	2161	1647	70	51	
William	364	1729	155	35	
Cowper,	539	1731	160	39	
1779.	725	1730	93	32	
Key	870	1731	77	40	
of	967	1728	36	34	
G	1030	1730	29	32	
Major.	1081	1730	126	39	
“And	1483	1726	102	36	
Enoch	1604	1724	120	37	
walked	1742	1727	136	33	
with	1897	1727	82	32	
God.”—Gen.	2000	1723	260	40	
5:24.	2279	1724	90	35	
T.	3124	1723	39	31	
J.	3182	1723	40	33	
Denson,	3242	1721	158	38	
1908.	3425	1719	94	32	
O	252	2017	30	34	
for	295	2018	53	34	
a	360	2028	21	22	
closer	396	2017	116	33	
walk	524	2017	93	31	
with	625	2017	84	32	
God,	720	2015	93	38	
A	827	2017	32	31	
calm	870	2016	94	32	
and	977	2015	69	34	
heav’nly	1059	2015	171	42	
frame	1242	2017	115	32	
