x	y	w	h	content
1302	2755	99	42	ne'er
1408	2754	90	43	shall
1505	2753	114	43	roam:
157	2792	69	43	Our
233	2794	88	42	Lord
328	2796	129	41	forever
465	2798	128	40	reigns,
918	2798	65	38	My
995	2797	101	37	Jesus
1103	2795	75	39	will
1185	2795	47	39	be
1239	2794	109	41	there,
197	2839	72	36	And
281	2837	38	38	to
330	2837	67	38	His
407	2836	147	44	dazzling
567	2838	108	47	train,
962	2836	66	40	His
1035	2836	99	40	glory
1142	2836	22	40	I
1172	2836	93	40	shall
1274	2836	102	41	share,
160	2872	45	44	He
215	2873	61	43	has
286	2873	115	43	bound
412	2875	57	42	the
479	2876	69	43	fate
559	2877	35	43	of
605	2878	150	48	nations,
920	2876	57	41	He
985	2877	74	40	will
1067	2877	176	41	introduce
1251	2876	60	43	my
1319	2875	105	45	spirit,
198	2915	75	42	And
281	2915	64	42	His
353	2916	152	42	kingdom
527	2917	97	42	He'll
632	2918	169	44	maintain.
961	2919	52	38	To
1018	2919	74	37	His
1098	2918	126	37	Father
1230	2917	41	39	as
1277	2916	47	40	an
1335	2916	86	41	heir.
582	2959	176	45	Copyright,
768	2961	69	43	1906,
846	2962	46	42	by
902	2962	34	42	C.
945	2963	40	41	A.
995	2963	136	41	Tindley.
