x	y	w	h	content
701	621	92	83	No.
812	619	114	89	19.
992	616	93	95	It
1103	615	157	97	May
1282	615	84	97	be
1383	615	110	96	the
1520	615	148	94	Best
1684	617	106	89	for
1806	619	122	84	Elle.
740	729	115	45	Words
864	728	73	47	and
945	727	111	49	Music
1064	728	53	48	by
1128	728	47	48	C.
1183	728	50	48	A.
1240	729	187	47	TINDLEY.
1759	730	74	48	Arr.
1844	731	52	47	by
1907	731	49	47	F.
1966	732	46	46	A.
2023	732	133	45	CLARK.
767	971	43	44	1.
913	967	60	40	oft
979	967	29	40	-
1022	967	47	40	en
1107	967	76	40	won
1200	967	28	40	-
1240	967	56	40	der
1345	964	86	44	why
1474	964	45	44	it
1544	965	59	43	is,
1611	965	118	43	While
1742	966	100	44	some
1871	968	65	43	are
1944	969	73	43	hap
2026	970	18	42	-
2052	971	53	42	py
2122	972	65	43	and
769	1008	38	38	2.
815	1008	93	38	Some
916	1008	91	38	have
1025	1007	45	39	of
1089	1007	120	40	wealth
1248	1007	39	41	to
1325	1007	101	43	throw
1477	1012	133	37	a-way,
1617	1009	110	40	While
1752	1008	24	41	I
1792	1008	43	42	am
1860	1008	61	43	com
1944	1009	18	42	-
1971	1009	114	44	pelled
2131	1013	37	43	to
770	1047	45	35	3.
857	1047	24	37	I
905	1047	98	38	think
1027	1046	34	40	of
1069	1046	148	41	children
1230	1046	80	42	with
1317	1046	134	43	parents
1459	1046	36	43	at
1503	1047	109	43	home,
1620	1047	106	44	What
1746	1048	58	43	joy
1856	1048	70	44	and
1946	1049	157	44	com-fort
2112	1050	72	44	they
769	1089	38	35	4.
814	1089	100	36	Some
923	1088	85	38	walk
1021	1088	36	39	in
1097	1088	103	40	paths
1225	1088	77	41	with
1332	1088	142	41	flow-ers
1482	1088	144	42	strewn,
1633	1088	54	42	No
1721	1088	158	42	burdens,
1886	1089	44	41	no
1986	1093	73	38	mis
2091	1092	24	38	-
2146	1094	22	34	e
2176	1095	6	33	-
874	1490	77	44	free,
1040	1487	92	44	That
1181	1489	27	42	I
1265	1492	47	39	am
1342	1492	90	40	tried
1460	1494	68	38	and
1600	1501	69	26	sore
1787	1502	209	29	op-pressed,
2020	1495	71	36	But
2125	1496	35	36	it
887	1533	36	36	be
1063	1531	42	40	In
1145	1532	101	39	want
1276	1533	34	38	al
1318	1534	16	38	-
1342	1534	96	38	most
1451	1536	77	37	from
1602	1538	56	31	day
1798	1539	37	28	to
1897	1536	69	41	day,
2022	1532	67	38	But
2097	1535	22	36	.
2127	1536	36	37	it
881	1577	59	35	see,
1024	1571	111	40	While
1143	1573	96	38	mine
1259	1575	62	36	are
1342	1577	90	35	gone
1450	1579	70	34	and
1601	1577	21	27	I
1679	1583	35	23	am
1801	1583	18	26	a
1848	1580	18	29	-
1883	1579	90	36	lone;
2021	1574	72	39	But
2126	1578	36	33	it
886	1621	32	29	ry
926	1626	9	26	,
1020	1613	110	36	While
1182	1613	23	37	I
1239	1614	98	37	must
1344	1616	84	36	bear
1456	1618	61	36	my
1596	1622	89	26	cross
1852	1619	15	27	-
1888	1620	86	31	lone,
2021	1618	72	32	But
2125	1617	32	26	it
1591	1806	141	38	CHORUS.
829	1998	78	33	may
946	1994	47	36	be
1043	1993	62	37	the
1122	1993	79	37	best
1232	1994	55	36	for
1356	1998	61	30	me.
1586	1996	40	37	It
1657	1998	81	36	may
1790	1995	43	32	be
1889	1994	64	38	the
1987	1995	79	37	best
2125	1998	51	33	for
848	2444	64	33	me,
919	2448	13	30	.
940	2449	12	29	.
960	2451	13	28	.
980	2452	13	28	.
1001	2454	13	27	.
1021	2455	13	27	.
1042	2456	35	28	..
1182	2441	41	36	It
1255	2444	80	33	may
1385	2440	46	36	be
1487	2440	62	38	the
1584	2440	83	39	best
1724	2441	54	35	for
1856	2451	70	29	me,
1931	2453	16	28	.
1953	2453	13	29	.
1972	2454	15	29	.
1994	2455	14	29	.
2015	2456	13	29	.
2035	2456	14	31	.
2112	2439	63	39	The
979	2476	48	29	for
1057	2482	53	34	me,
1942	2480	45	28	for
2018	2486	48	24	me
786	2890	83	46	Lord
879	2890	118	48	knows
1007	2890	56	49	the
1072	2890	80	50	way
1162	2890	71	50	And
1242	2891	20	49	I
1272	2891	86	49	will
1377	2891	29	49	o
1415	2892	18	48	-
1442	2892	83	48	bey,
1535	2893	35	47	It
1579	2893	77	47	may
1666	2894	53	45	be
1734	2894	59	44	the
1803	2895	86	42	best
1904	2896	63	40	for
1982	2897	68	38	me.
2059	2898	57	36	...
2037	2935	48	29	for
2097	2937	54	29	me,
1163	3130	173	44	Copyright,
1347	3130	71	43	1905,
1429	3130	43	42	by
1483	3130	34	42	C.
1528	3130	38	41	A.
1577	3129	137	41	Tindley,
