x	y	w	h	content
590	671	103	63	No.
705	670	48	63	2.
1120	660	202	86	Stand
1352	662	96	87	By
1468	662	112	92	Me.
632	765	117	44	Words
757	765	71	45	and
836	765	111	46	Music
955	766	52	45	by
1018	766	46	45	C.
1072	766	49	45	A.
1129	766	179	43	TINDLEY.
1617	764	76	45	Arr.
1701	766	52	43	by
1761	766	49	43	F.
1819	767	48	42	A.
1876	767	139	42	CLARK.
697	1020	45	46	1.
756	1020	97	44	When
867	1020	51	44	the
932	1020	113	43	storms
1059	1021	39	41	of
1111	1021	68	41	life
1204	1021	52	40	are
1268	1020	140	40	rag-ing,
1420	1020	99	40	Stand
1531	1020	53	40	by
1605	1019	60	41	me.
1676	1019	91	41	(stand
1778	1018	33	42	by
1821	1017	48	43	me.
1880	1017	8	43	)
1898	1017	105	44	When
2012	1016	56	45	the
1910	1060	39	37	In
1991	1062	61	36	the
698	1092	38	45	3.
792	1059	44	41	In
860	1059	57	41	the
927	1059	114	42	midst
1056	1059	39	42	of
1104	1059	69	42	trib
1182	1059	26	42	-
1217	1059	24	42	u
1249	1059	13	42	-
1271	1059	142	42	la-tions,
1422	1059	104	42	Stand
1534	1059	49	42	by
1604	1059	65	41	me.
793	1099	38	38	In
859	1100	58	38	the
925	1100	113	40	midst
1046	1101	34	39	of
1087	1101	103	40	faults
1198	1101	68	40	and
1274	1101	142	40	failures,
1423	1101	104	41	Stand
1534	1101	52	40	by
1607	1100	65	41	me.
1910	1102	37	35	In
1991	1104	57	34	the
697	1139	40	35	4.
792	1139	41	38	In
861	1139	56	40	the
925	1139	110	42	midst
1048	1139	44	42	of
1103	1140	63	42	per
1174	1140	24	42	-
1209	1140	36	42	se
1253	1140	17	42	-
1278	1140	135	42	cu-tion,
1421	1140	106	41	Stand
1535	1140	49	40	by
1606	1139	64	40	me.
1912	1138	37	37	In
1990	1141	58	39	the
698	1179	44	39	5.
756	1179	102	41	When
872	1179	54	42	I'm
953	1180	149	43	growing
1114	1180	58	44	old
1185	1179	68	45	and
1266	1179	50	45	fee
1326	1179	13	45	-
1349	1179	60	45	ble,
1420	1179	100	45	Stand
1531	1178	49	45	by
1606	1178	75	44	me.
1697	1177	54	45	(by
1808	1183	53	34	me.
1867	1181	11	36	)
1884	1181	102	37	When
2000	1179	54	40	I'm
621	1274	144	59	OAT
721	1592	128	37	storms
866	1591	45	39	of
938	1590	65	41	life
1044	1590	60	41	are
1132	1590	60	41	rag
1203	1590	24	41	-
1233	1590	74	41	ing,
1314	1590	106	40	Stand
1446	1591	48	39	by
1551	1592	63	36	me.
