x	y	w	h	content
474	558	51	82	A
579	557	193	85	Better
805	554	167	87	Home.
989	553	388	75	-Concluded.
289	875	95	33	world
395	875	59	33	can
475	875	68	31	nev
551	874	20	31	-
577	874	40	30	er
658	872	115	36	come.
782	871	103	37	There
896	870	80	38	with
1025	869	54	39	rel
1086	868	21	40	-
1114	868	23	40	a
1144	868	21	40	-
1172	868	89	40	tives
1280	868	69	41	and
1359	868	144	41	friends,
1511	868	23	42	I
1560	868	86	42	shall
321	1379	43	35	be
400	1379	38	36	so
467	1378	66	38	hap
548	1378	16	38	-
573	1378	45	39	py
636	1378	77	39	then
751	1377	36	41	In
820	1377	59	41	the
901	1377	165	41	pres-ence
1090	1377	41	41	of
1165	1377	58	40	the
1232	1378	94	39	Lord
1358	1378	52	38	all
1430	1378	58	37	the
1509	1379	90	35	time.
1287	1661	20	34	6
174	1692	22	43	I
205	1692	90	43	tried
304	1694	31	42	it
343	1695	57	41	for
408	1696	136	40	awhile,
940	1694	90	42	Then
1041	1695	23	41	I
1072	1695	67	41	put
1148	1696	64	40	the
1221	1697	105	41	world
1336	1698	99	42	aside,
176	1735	148	39	Keeping
334	1737	48	38	up
394	1738	82	37	with
489	1738	101	38	every
601	1738	99	38	style,
940	1736	127	39	Taking
1079	1735	98	41	Jesus
1184	1736	56	41	for
1247	1737	64	41	my
1320	1738	119	43	guide,
216	1776	75	37	And
302	1776	72	38	was
381	1777	115	39	trying
504	1777	39	39	to
550	1777	65	40	ge'
621	1777	58	40	the
685	1776	111	42	crown
807	1775	91	43	with-
975	1776	26	38	I
1014	1776	107	40	began
1145	1776	39	41	to
1204	1777	56	41	try
1282	1777	40	42	to
1344	1777	85	42	walk
1459	1778	63	41	the
1543	1778	122	40	narrow
291	1814	64	38	out
363	1816	62	38	the
435	1817	91	38	cross.
1056	1816	65	40	way
1128	1818	23	38	.
171	1851	22	41	I
201	1852	109	40	found
318	1856	35	36	it
362	1857	111	36	would
482	1858	67	36	not
559	1858	58	38	do;
936	1856	38	37	It
981	1856	37	37	is
1025	1856	146	38	tedious,
1179	1856	24	38	I
1211	1855	126	42	admit,
171	1893	72	40	For
250	1892	63	40	the
320	1892	93	40	word
420	1891	47	41	of
474	1892	80	42	God
561	1893	33	42	is
601	1894	93	44	true,
804	1893	113	43	[lost,
936	1895	73	41	But
1016	1896	24	40	I
1047	1897	48	39	am
1113	1897	68	40	not
1188	1898	113	41	weary
1308	1899	79	42	yet;
214	1932	78	41	And
299	1933	121	41	unless
431	1933	27	41	I
468	1934	73	40	live
549	1934	136	40	upright
701	1935	22	40	I
731	1935	117	40	would
862	1936	51	39	be
976	1937	24	37	I
1007	1937	91	38	shall
1105	1937	110	39	travel
1223	1936	43	41	on
1280	1936	96	42	until
1384	1936	61	43	the
1456	1937	128	45	perfect
1595	1937	68	47	day.
172	2183	99	66	No.
285	2182	69	68	1.
643	2181	278	72	Christian
968	2187	256	74	Seaman.
210	2297	28	43	1
255	2298	90	42	Time
354	2300	34	40	is
397	2300	25	40	a
431	2301	126	41	Stormy
566	2304	118	41	ocean,
954	2300	28	41	5
999	2300	50	41	To
1056	2301	100	42	those
1163	2302	79	42	who
1249	2303	62	42	are
1318	2304	189	43	spectators,
292	2340	136	39	Beyond
438	2339	108	41	which
559	2340	136	43	Heaven
706	2343	81	42	lies,
1039	2342	102	38	What
