x	y	w	h	content
1342	2394	97	47	over
1451	2396	123	44	(The)
1583	2398	94	41	.....
1712	2398	24	30	4
163	2453	120	47	Hymn
293	2455	68	46	for
370	2456	161	46	Baptism
870	2463	42	35	16
983	2440	188	49	Stranger
1183	2442	65	48	cut
1257	2443	67	48	the
1333	2444	100	47	rope
1442	2445	85	45	(A).
1536	2447	11	43	.
1556	2447	33	43	..
1597	2448	50	41	...
1656	2449	27	39	.
1691	2449	45	38	31
1339	2514	32	51	T
168	2621	22	40	I
200	2620	45	40	am
272	2619	146	43	coming
429	2620	42	43	to
485	2621	63	45	the
559	2623	106	50	cross
676	2628	122	56	......
987	2583	127	46	Today
1124	2586	108	49	.....
1695	2591	41	41	17
871	2628	41	41	49
988	2632	118	44	There
1114	2633	42	43	is
1164	2633	33	43	a
1205	2634	191	49	fountain.
1693	2637	48	42	45
169	2665	18	42	I
194	2665	104	44	have
305	2666	120	46	found
435	2668	45	45	at
488	2669	83	45	last
579	2670	67	45	the
665	2672	199	46	Saviour.
873	2675	32	44	41
986	2681	217	48	Thoughts,
1212	2682	191	49	Thoughts
1413	2683	48	48	of
1470	2684	31	47	a
1510	2684	100	48	soul.
1620	2685	8	47	.
1638	2685	45	47	..
1693	2686	48	46	20
166	2715	69	43	I'll
243	2715	49	45	be
301	2716	106	50	there
417	2722	9	45	.
436	2724	53	47	...
499	2729	9	43	.
518	2731	9	43	.
871	2730	41	39	50
987	2732	200	47	Travelers
1196	2732	44	47	to
1249	2732	62	48	the
1319	2732	189	49	heavenly
1519	2732	129	49	world.
1657	2732	30	49	.
1695	2732	42	49	32
169	2765	45	43	I'
243	2768	197	46	overcome
450	2773	107	44	some
565	2775	98	46	day.
734	2785	13	39	.
755	2784	12	39	.
775	2784	13	39	.
796	2784	10	39	.
814	2784	35	39	--
876	2778	33	42	42
167	2813	61	47	I'm
250	2816	117	48	going
380	2821	107	50	there
499	2827	97	53	.....
876	2826	37	43	44
1326	2809	31	46	W
170	2868	37	44	It
217	2868	88	44	may
315	2869	50	44	be
376	2870	67	45	the
455	2872	84	46	best
551	2874	63	47	for
626	2876	207	59	me........
879	2871	37	51	19
995	2874	121	46	We'll
1124	2874	236	49	understand
1369	2876	36	47	it
1414	2876	133	48	better.
1557	2877	50	48	...
1617	2878	67	47	...
1695	2879	40	46	30
169	2915	15	47	I
194	2916	73	48	will
276	2917	46	49	go
332	2918	27	48	if
369	2919	64	49	my
442	2919	135	51	Father
587	2921	95	50	hold
691	2921	61	50	my
762	2921	107	51	hand
878	2921	46	51	12
993	2924	130	47	What
1134	2925	72	47	are
1214	2926	93	46	they
1319	2926	120	45	doing
1448	2926	46	45	in
1503	2925	159	46	heaven.
1672	2924	9	47	.
1691	2924	45	46	15
