x	y	w	h	content
1809	2728	61	37	my
1918	2729	89	37	hand
2013	2732	15	34	.
2034	2733	14	34	.
2054	2734	33	33	..
2093	2735	14	32	.
2114	2736	14	30	.
2134	2737	12	29	.
2153	2738	13	27	.
1097	2768	39	33	an
1218	2769	55	36	go,
1331	2766	36	30	if
1419	2767	60	36	my
1514	2766	63	36	Fa-
1586	2765	80	38	ther
1688	2765	103	39	holds
1810	2767	60	39	my
1919	2769	88	37	hand
2014	2772	15	35	.
2036	2773	12	34	.
2055	2774	13	34	.
2075	2775	13	33	.
2095	2776	32	32	..
2134	2778	12	30	.
2154	2779	19	29	.
1084	2807	53	37	can
1218	2815	53	32	go,
1333	2804	36	30	if
1420	2811	59	32	my
1515	2809	149	34	Father
1688	2807	99	38	holds
1810	2810	59	37	my
1920	2809	89	36	hand
2015	2813	14	32	.
2036	2814	14	32	.
2056	2815	12	31	.
2075	2816	11	31	.
2093	2816	75	31	....
1090	2847	61	27	will
1219	2851	48	30	20,
1334	2839	32	28	if
1515	2849	152	34	Father
1687	2847	103	37	holds
1810	2848	59	38	my
1920	2848	87	35	hand
2013	2851	14	33	.
2033	2852	35	32	..
2074	2853	73	32	....
2152	2857	14	28	.
1977	2887	93	27	holds
2075	2885	52	29	my
2138	2884	85	28	hand.
1207	3075	171	44	Copyright,
1389	3077	69	41	1907,
1468	3078	45	40	by
1524	3078	34	40	C.
1568	3077	40	42	A.
1618	3077	122	43	Tindley.
