x	y	w	h	content	
421	256	49	25	338	
1077	253	196	27	SAWYERS	
1299	254	103	26	EXIT.	
1486	258	25	24	Ds	
1542	258	26	24	5	
409	301	41	22	Key	
459	302	18	16	of	
487	303	15	15	A	
510	302	63	21	major.	
844	302	102	16	“Precious	
957	303	16	14	in	
984	302	30	15	the	
1023	302	48	20	sight	
1081	302	18	15	of	
1109	301	29	16	the	
1150	301	45	16	Lord	
1207	302	14	15	is	
1232	301	29	16	the	
1271	301	53	16	death	
1336	302	18	15	of	
1364	301	28	16	his	
1403	303	78	15	saints.”	
1510	303	31	15	116	
1552	303	30	16	Ps.	
1596	303	25	16	15.	
1895	689	80	65	roe	
974	792	26	13	us,	
1011	786	28	17	All	
1066	788	46	15	raise	
1127	792	10	11	a	
1154	792	39	11	new	
1209	787	183	19	shoutaswecome,	
1418	787	41	17	And	
1476	789	42	20	sing	
1528	787	86	18	hal-le-	
1630	788	58	21	lu-jah	
1698	788	31	17	the	
1739	788	77	18	lou-der,	
1841	788	27	16	To	
1886	788	97	16	wel-come	
1998	787	18	18	the	
2018	788	107	24	tray-elers)	
2141	791	7	14	¥	
2197	786	7	1	s	
461	966	61	19	home,	
533	966	41	16	And	
587	967	22	16	be	
620	966	52	17	there	
682	967	89	16	for-ev-er	
781	970	18	13	at	
832	967	61	18	home,	
927	967	40	16	And	
977	967	23	16	be	
1008	967	51	16	there	
1069	967	89	16	for-ey-er	
1169	967	89	20	athome,	
1285	968	26	16	To	
1333	969	35	15	rise	
1379	970	17	14	to	
1408	968	30	16	the	
1448	969	96	15	mansions	
1553	969	19	16	of	
1590	969	66	21	glo-ry,	
1682	969	41	16	And	
1741	969	22	16	be	
1774	968	40	23	there	
1817	968	48	16	for	
1872	977	7	2	-	
1888	973	61	12	ev-er	
460	1126	60	19	home,	
531	1126	41	16	And	
581	1127	77	16	welcome	
661	1128	31	15	it	
700	1127	67	21	safe-ly	
777	1130	18	14	at	
829	1127	60	19	home,	
1291	1298	27	15	And	
1322	1297	62	22	sing	
1397	1296	126	22	hal-le-lu-jah	
1533	1298	30	16	the	
1586	1298	77	19	lou-der,	
1678	1298	25	16	To	
1736	1298	78	16	welcome	
1818	1297	50	17	the	
1878	1299	40	14	tray	
1926	1305	8	3	-	
1947	1296	54	17	el-ers	
2031	1294	55	17	home.	
1584	1248	3	15	|	
459	1293	60	18	home,	
529	1293	26	16	To	
576	1294	76	16	welcome	
655	1294	51	16	the	
718	1295	96	16	travellers	
827	1294	60	19	home,	
923	1296	26	15	To	
959	1296	76	15	welcome	
1039	1295	49	17	the	
1099	1296	97	16	travellers	
1206	1296	61	19	home,	
492	1334	16	15	4.	
534	1334	41	16	And	
586	1334	51	17	there	
646	1340	31	11	are	
687	1340	29	11	oui	
730	1335	69	16	friends	
808	1335	36	16	and	
854	1337	127	19	companions,	
1136	1336	16	17	5.	
1178	1337	41	16	And	
1231	1337	50	17	there	
1291	1338	15	16	is	
1318	1338	30	16	the	
1357	1338	74	16	blessed	
1443	1339	110	18	Redeemer,	
1708	1339	16	16	6.	
1750	1338	51	16	Then	
1815	1338	24	17	let	
1852	1343	21	11	us	
1884	1342	22	16	go	
1916	1341	60	12	onward	
1978	1335	108	21	rejoicing,	
559	1357	83	21	Escaped	
652	1359	47	15	from	
711	1358	29	16	the	
750	1359	36	16	evil	
796	1362	17	13	to	
823	1364	60	13	come,	
1202	1360	24	17	So	
1236	1361	44	16	mild	
1290	1367	22	10	on	
1323	1361	28	17	his	
1361	1362	86	16	merciful	
1458	1362	71	18	throne,	
1773	1362	34	15	Till	
1817	1362	54	21	Jesus	
