x	y	w	h	content	
729	238	143	31	GOSSIP,	
894	238	53	26	OR	
965	237	109	26	THEY	
1095	236	125	27	SAY.---	
1256	236	146	33	Original.	
1837	237	48	24	471	
254	285	19	17	B.	
285	286	17	18	F.	
314	288	36	19	W.,	
364	290	49	17	1869.	
442	290	39	22	Key	
492	291	20	16	of	
519	291	16	17	A	
544	291	65	17	Minor.	
812	289	43	17	“He	
864	288	38	17	that	
910	288	78	17	uttereth	
998	288	64	17	slander	
1065	288	32	17	is	
1107	294	9	11	a	
1126	288	121	17	fool.—Prov.	
1258	288	56	17	10:18.	
1508	286	61	17	Iusic	
1578	286	34	17	and	
1621	286	64	21	Poetry	
1695	286	22	21	by	
1728	286	18	16	B.	
1759	286	16	16	F.	
1786	286	65	17	White.	
307	479	14	16	1.	
345	477	52	23	They	
408	482	55	18	say—	
474	479	30	17	ah!	
529	480	46	21	well,	
586	484	92	17	sup-pose	
714	479	41	22	they	
780	479	29	22	do,	
847	480	35	17	But	
906	480	45	17	does	
976	480	37	17	that	
1037	485	56	17	prove	
1117	480	31	17	the	
1169	482	73	19	sto-ry	
1274	479	53	17	true?	
1360	479	146	21	Sus~-pi-cion	
1540	483	40	17	may	
1612	478	69	16	a-rise	
1704	477	44	17	from	
1767	479	72	21	naught,	
1860	479	26	16	Or	
305	631	17	21	2,	
347	631	54	22	They	
410	632	151	21	say---butwhy	
593	632	30	17	the	
664	632	34	17	tale	
735	633	118	21	re-hearse,	
864	633	41	17	And	
923	633	42	22	help	
979	636	16	14	to	
1021	633	54	17	make	
1099	633	31	16	the	
1155	635	86	14	mat-ter	
1265	632	72	17	worse?	
1358	632	31	17	No	
1420	631	47	23	good	
1485	636	33	12	can	
1548	636	33	16	pos	
1600	640	5	3	-	
1622	631	15	16	si	
1654	640	6	3	-	
1678	630	29	22	bly	
1735	635	20	12	ac	
1768	637	8	4	=	
1790	634	42	12	crue	
1847	629	50	17	From	
174	915	14	25	2	
182	941	7	11	p'	
177	973	11	10	x	
175	987	12	11	~	
632	1054	313	30	——	
488	1078	2	4	t	
678	1071	1	3	|	
742	1071	15	13	S	
188	1085	587	47	sete	
777	1084	87	32	aoe	
868	1099	61	18	jase	
297	1165	96	22	mal-ice,	
431	1170	23	12	en	
469	1175	6	2	-	
490	1170	29	17	vy,	
545	1168	49	14	want	
618	1164	108	22	ofthought.	
736	1164	47	22	Why	
798	1167	56	14	count	
871	1164	95	22	your-self	
999	1169	29	11	a-	
1042	1164	92	21	mongthe	
1151	1163	49	21	they,	
1238	1162	46	17	Who	
1300	1161	46	17	whis	
1365	1172	7	3	-	
1389	1166	32	16	per	
1457	1161	47	16	what	
1528	1165	35	16	you	
1600	1160	42	16	dare	
1690	1162	29	13	not	
1777	1158	44	22	say?	
299	1336	45	17	tell.	
356	1335	29	21	ing	
409	1336	48	16	what	
481	1340	42	16	may	
584	1335	22	16	be	
634	1338	96	14	un-true,	
745	1334	40	16	And	
807	1334	15	16	is	
870	1334	12	16	it	
928	1336	31	14	not	
994	1338	10	11	a	
1051	1332	87	17	no-bler	
1163	1331	40	22	plan	
1239	1331	27	16	‘To	
1291	1330	56	21	speak	
1386	1328	19	17	of	
1461	1329	21	15	all	
1530	1329	29	15	the	
1601	1328	39	16	best	
1682	1331	35	17	you	
1776	1325	46	17	can?	
257	1503	42	17	The	
308	1502	60	17	aboye	
377	1502	41	13	tune	
430	1499	36	12	was	
475	1497	42	15	made	
519	1497	37	16	for	
559	1498	46	16	the	
615	1498	58	17	fourth	
682	1499	67	16	edition	
759	1499	20	16	of	
789	1500	30	16	the	
828	1499	68	17	Sacred	
907	1500	49	21	Harp	
966	1500	23	20	by	
997	1499	58	20	Major	
1064	1500	18	15	B.	
1096	1499	16	16	F.	
1123	1499	57	16	Whitc	
1190	1499	17	15	in	
1221	1498	47	16	1869.	
1296	1496	27	16	He	
1337	1496	38	16	also	
1393	1494	99	22	composed	
1510	1494	29	16	the	
1558	1493	66	20	words,	
1651	1492	34	17	See	
1699	1492	83	16	remarks	
1797	1492	55	15	about	
1866	1491	20	19	B,	
1902	1490	17	17	F.	
192	1530	59	19	White	
260	1530	60	18	under	
330	1531	43	12	tune	
384	1522	98	22	Baptismal	
491	1523	79	16	Anthem,	
573	1529	69	16	pages	
650	1525	37	16	232	
696	1526	35	16	and	
743	1526	44	17	233.	
