x	y	w	h	content	
6	270	20	10	Min	
24	273	59	25	aS.	
92	284	58	24	Daxsoy,	
154	293	13	16	1g	
0	312	180	35	=e	
0	344	115	16	ea	
0	0	2220	1785	25	
0	355	80	21	2	
80	360	100	19	ee	
0	373	180	41	i	
13	416	45	8	B-b	
966	213	173	27	LIBERTY.	
1176	214	31	24	C.	
1229	215	41	23	M.	
1927	228	49	24	137	
857	252	82	13	“Deliver	
946	256	26	8	me	
979	253	37	12	trom	
1018	253	40	12	the	
1065	253	97	16	oppression	
1170	252	17	14	of	
1195	253	97	13	man.’'"—Ps.	
1306	254	32	12	119:	
1348	255	28	12	134.	
285	275	44	22	Key	
337	274	23	18	of	
366	275	16	16	F	
392	274	69	23	Major.	
1335	278	101	16	STEPHEN	
1449	279	74	20	JENKS,	
1539	279	48	16	1803.	
1614	279	43	17	Alto	
1666	279	25	22	by	
1701	281	18	16	S.	
1735	281	25	16	M.	
1776	282	93	21	DEnson,	
1881	283	48	17	1911.	
343	409	28	18	No	
396	414	49	13	more	
459	409	11	17	be	
472	414	23	13	-	
505	409	56	17	neath	
570	409	32	18	the	
611	409	116	21	oppress-ive	
740	409	51	18	hand	
835	409	28	18	Of	
910	411	128	21	tyr-an-ny	
1069	416	28	12	we	
1137	416	64	16	groan.	
1898	416	25	18	Be	
257	445	13	10	ft)	
703	454	43	2	a	
336	469	13	2	pee	
367	454	140	19	ee	
541	455	203	22	oa	
906	456	14	15	(e	
1144	457	31	15	(ea	
1461	473	74	2	ae	
1742	461	4	14	i	
1962	463	15	15	al	
244	456	185	62	a	
525	470	221	30	epee	
843	472	142	22	[oem	
1144	457	94	63	le]	
1308	488	431	10	SS	
1741	477	236	32	el	
251	501	51	33	Qe	
336	496	93	20	pxSfemmere	
432	497	45	19	Qe	
479	501	28	2	es	
525	502	15	13	fo	
542	501	46	15	ces	
590	501	28	2	ge	
620	495	124	20	Oe	
843	496	77	22	Cael	
922	500	76	20	aN	
1206	503	45	10	sages	
1301	505	14	15	ae	
1522	506	14	15	fe	
1741	508	3	14	|	
1951	510	26	17	al	
258	556	13	10	6.	
524	558	6	7	»	
970	560	8	7	b	
1081	554	62	15	vn	
1159	559	60	17	ale	
1538	562	8	7	pet	
1585	562	54	7	Tineewr€	
258	567	68	14	ae	
509	567	77	14	pee	
697	567	82	15	=F.	
906	572	3	10	i	
970	568	62	19	2	
1244	569	71	46	a	
1438	584	82	2	ees	
0	0	2220	1785	|e	
1538	570	45	16	ae	
1585	570	89	17	ae	
1757	580	92	14	=—s—_	
572	582	15	7	=	
1243	586	6	6	«	
1585	584	61	14	ial	
1850	581	16	14	re	
246	583	659	46	ee	
906	569	646	63	ee	
1679	572	297	61	eee	
253	630	21	15	v	
620	629	32	15	=	
1613	630	96	18	ae	
1897	621	79	30	we	
345	654	28	18	No	
398	660	49	12	more	
461	654	21	18	be	
491	664	7	2	-	
507	654	56	18	neath	
573	654	32	18	the	
614	654	115	22	oppress-ive	
742	654	50	18	hand	
837	654	28	19	Of	
912	657	128	20	tyr-an-ny	
1071	661	28	12	we	
1140	661	63	17	groan.	
1457	657	25	18	Be	
1499	667	6	3	-	
1522	657	43	18	hold	
1573	658	32	18	the	
1614	658	89	22	smil-ing,	
0	0	2220	1785	_	
1743	659	36	22	hap	
1788	669	6	2	-	
1803	665	25	16	py	
1837	660	49	22	land,	
1897	660	25	18	Be	
1679	697	75	14	—	
1818	705	140	3	a	
1736	708	83	43	eae	
1851	709	54	20	oy	
1693	734	42	12	ei:	
1756	733	44	16	fee	
1867	736	45	16	oa	
1686	752	23	6	==	
1740	752	4	14	—|	
1960	754	16	15	+	
345	788	28	18	No	
398	793	49	13	more	
461	788	21	18	be	
0	0	2220	1785	-	
492	788	71	18	neath	
572	788	32	18	the	
614	788	115	22	oppress-ive	
742	788	51	18	hand	
836	788	29	18	Of	
912	790	128	21	tyr-an-ny	
1071	795	28	12	we	
1139	795	63	16	groan.	
1245	790	25	17	Be	
1284	799	5	3	-	
1302	790	43	17	hold	
1354	790	31	18	the	
1399	790	88	22	smil-ing,	
1520	791	36	21	hap	
1565	801	7	2	-	
1581	797	24	16	py	
1614	791	50	22	land,	
1674	791	26	18	Be	
1721	801	5	3	-	
1746	792	43	18	hold	
1798	793	31	17	the	
1839	794	89	22	smil-ing,	
259	841	13	10	6	
1112	845	44	14	ey	
1269	845	8	7	x	
1348	839	72	29	ep	
1553	846	29	7	ot	
1806	832	9	16	1	
1899	833	11	15	2	
1109	858	2	9	;	
1269	854	15	6	iS	
1410	856	16	5	BS	
1475	868	59	2	aaa	
1551	854	31	7	ee	
1803	870	60	2	SE	
1080	869	313	46	ie	
1396	855	579	61	eal	
1070	899	23	1	=a	
1158	900	25	15	Ee	
1458	901	16	9	ol	
1646	900	32	16	amie	
1739	903	66	14	esol	
1865	904	10	14	t	
1944	904	31	15	HH	
320	939	44	18	hold	
372	940	32	18	the	
413	939	90	22	smil-ing,	
528	939	38	22	hap	
574	949	8	3	-	
591	945	25	16	py	
625	939	50	22	land,	
686	939	26	18	Be	
721	949	6	2	-	
736	939	43	18	hold	
788	940	32	17	the	
829	939	90	23	smil-ing,	
944	940	36	22	hap	
990	948	6	2	-	
1005	946	25	16	py	
1039	940	49	21	land;	
1096	939	49	19	That	
1161	940	88	18	free-dom	
1259	940	44	18	calls	
1312	940	32	18	her	
1391	946	49	16	own,	
1461	941	41	18	that	
1525	941	103	18	free-dom	
1664	942	44	18	calls	
1732	942	32	18	her	
1788	948	48	13	own.	
1804	966	9	15	1	
1899	967	11	14	2	
1256	1001	74	1	Sere	
1397	1002	24	1	wie	
1458	987	2	15	[	
1476	986	13	4	2	
1490	986	93	16	==	
1582	986	93	26	ed	
1678	987	108	2	ee	
1787	988	173	23	es	
1333	987	124	61	=	
1473	992	187	55	a	
1677	990	298	62	eS]	
252	1049	23	15	=	
469	1073	26	18	Be	
508	1083	6	3	-	
527	1073	44	18	hold	
579	1073	32	18	the	
621	1073	89	22	smil-ing,	
736	1073	36	22	hap	
0	0	2220	1785	-	
780	1079	37	16	py	
826	1073	49	22	land,	
879	1073	50	19	That	
937	1074	89	17	free-dom	
1036	1074	43	17	calls	
1089	1074	42	17	here	
1457	1074	49	18	That	
1522	1074	102	18	free-dom	
1660	1075	44	17	calls	
1728	1075	32	18	her	
1792	1081	48	13	own.	
241	1102	51	54	$5	
492	1111	110	25	ie	
682	1112	52	34	peal	
798	1105	222	37	Spee	
1033	1119	137	32	ae	
1253	1120	154	32	——	
1442	1112	108	42	as	
1614	1121	141	32	—————	
1787	1099	25	37	rc	
1865	1100	42	37	—	
1947	1123	13	15	J	
249	1135	1048	62	SS	
1300	1123	676	66	el	
321	1207	44	18	hold	
373	1207	32	18	the	
414	1207	89	22	smil-ing,	
528	1207	37	22	hap	
574	1217	8	3	-	
590	1213	26	16	py	
625	1207	103	21	land,That	
736	1207	82	18	freedom	
828	1207	44	18	calls	
882	1207	32	18	her	
952	1212	50	16	own,	
1460	1207	41	18	that	
1524	1207	103	18	free-dom	
1663	1208	43	17	calls	
1731	1208	32	18	her	
1787	1214	48	13	own.	
1804	1253	9	15	1	
1898	1255	11	14	2	
1578	1267	50	15	Sep	
1629	1261	31	15	ate	
1666	1251	42	25	ner	
1719	1274	116	3	eel	
1457	1274	487	33	Petes	
1457	1306	18	15	Ht	
1542	1306	121	15	Sel	
1739	1307	15	14	(asa	
1786	1308	88	15	alae	
1457	1322	14	16	IE	
1660	1322	14	15	ia	
1786	1323	3	14	t	
1865	1324	9	14	i	
1462	1347	41	17	that	
1527	1347	102	17	free-dom	
1664	1347	44	17	calls	
1733	1347	31	17	her	
1788	1352	48	13	own.	
321	1347	81	22	hap-py	
412	1345	103	22	land,That	
527	1345	37	17	free	
612	1354	6	4	-	
665	1346	42	17	dom	
732	1346	44	18	calls	
789	1346	32	18	her	
831	1352	49	16	own,	
287	1386	81	23	Stephen	
379	1386	68	20	Jenks,	
456	1385	19	17	of	
485	1384	46	18	New	
540	1383	88	26	Canaan,	
638	1385	68	21	Conn.,	
716	1386	97	21	published	
822	1386	33	18	the	
864	1385	12	8	“‘	
884	1386	88	22	Delights	
981	1387	19	17	of	
1010	1387	103	21	Harmony”	
1116	1387	31	17	in	
1160	1388	47	20	1805.	
1235	1386	117	22	Twenty-six	
1362	1386	18	17	of	
1393	1386	31	18	the	
1437	1388	54	16	tunes	
1501	1386	17	17	in	
1531	1386	38	25	this	
1582	1386	48	17	book	
1643	1391	47	13	were	
1699	1387	97	21	composed	
1806	1387	25	22	by	
1840	1388	45	21	him,	
1895	1389	36	18	and	
1943	1389	31	18	the	
242	1410	52	17	work	
302	1415	40	12	was	
351	1407	99	24	published	
463	1407	25	21	by	
497	1406	132	21	subscription.	
655	1407	28	17	He	
692	1408	86	18	removed	
790	1410	19	16	to	
819	1408	109	22	Thompson	
939	1409	36	17	and	
988	1410	42	17	died	
1043	1410	51	17	there	
1104	1410	17	17	in	
1133	1410	48	21	1856.	
1207	1409	27	18	He	
1244	1414	39	13	was	
1292	1415	11	12	a	
1312	1409	56	21	ready	
1380	1414	100	16	composer.	
1507	1409	16	17	He	
1526	1414	33	12	is	
1568	1409	92	21	supposed	
1673	1411	18	15	to	
1705	1409	48	18	have	
1762	1411	98	20	composed	
1873	1411	31	18	the	
1914	1413	61	17	words	
242	1432	19	17	of	
268	1432	39	18	this	
315	1434	51	16	tune.	
