x	y	w	h	content	
344	242	53	25	130	
390	323	45	22	Key	
443	322	24	17	of	
472	322	17	17	F	
497	320	72	24	Major.	
840	360	10	7	he	
777	370	78	17	alas	
650	373	240	59	Sh	
463	622	15	13	2.	
495	616	37	19	But	
587	615	51	19	truth	
687	615	41	17	Gutsea	
772	613	14	18	1t	
702	467	16	17	is	
750	471	46	13	soon	
814	470	40	12	com	
0	0	2220	1785	-	
864	463	58	22	ing,	
732	514	174	26	SFR	
909	513	77	3	AN	
717	516	238	64	aS	
941	512	127	64	ee	
1067	512	166	64	ee	
1231	506	305	67	ee	
833	617	11	12	a	
862	620	6	3	-	
881	616	51	16	way,	
949	609	37	19	and	
958	222	268	30	MILLENNIUM.	
1265	229	31	19	12,	
1300	229	66	23	12,	
1382	229	42	23	12,	
1439	228	43	25	13.	
1020	277	43	13	“But	
1070	276	29	13	the	
1105	274	33	15	end	
1145	274	44	14	shall	
1196	275	30	13	not	
1233	274	21	13	be	
1260	275	45	16	yet.”	
1306	274	72	12	—Marr.	
1381	273	27	13	24:	
1413	273	24	13	6.	
1244	309	49	17	Zion	
1302	308	102	22	Songster,	
1414	313	19	17	p.	
1444	308	29	16	53.	
1501	308	46	17	WM.	
1560	308	159	21	WALKER,1831.	
1744	308	46	17	Alto	
1798	307	27	23	by	
1833	306	20	18	S.	
1868	305	28	17	M.	
1910	303	98	20	DENSON,	
2017	300	46	20	1911.	
2075	304	15	24	a	
1419	363	23	12	a	
1648	352	45	22	(ees	
1439	376	32	30	iz	
1536	377	15	12	oo	
1601	375	80	14	spaces	
1439	408	31	16	[ibceresn|	
1536	409	64	20	een	
1601	407	65	21	ren	
1668	420	44	3	aoe	
1013	461	33	18	the	
1078	465	33	17	pro	
1124	469	6	3	-	
1143	459	56	22	phets	
1212	458	39	17	fore	
1265	467	6	3	-	
1284	456	46	22	told,	
1348	455	65	20	When	
1455	453	20	19	Zi	
1502	463	7	4	=	
1535	458	23	13	on)	
1600	453	18	17	ie	
1659	457	50	17	pur	
1722	452	112	21	aye	
1169	503	60	18	NZ	
1231	502	80	23	Naleg	
1312	506	128	17	eee	
1563	505	102	23	Secs	
1523	498	161	70	=	
1011	609	42	18	love	
1063	608	55	18	melts	
1151	607	55	18	down	
1232	605	24	18	all	
1280	605	49	21	foes,	
1367	603	42	18	The	
1441	607	46	18	pure	
1519	601	52	19	word	
1604	601	19	18	of	
1656	599	45	19	God	
1710	599	38	18	will	
1757	604	89	17	con-quer	
1859	598	24	18	all	
1927	597	43	19	who	
1994	603	76	17	op-pose,	
2090	587	7	21	:	
1100	661	2	14	J	
1279	658	16	15	is	
1022	679	15	13	@	
1037	676	28	2	2s	
1070	661	32	31	les	
1280	674	33	15	fey	
1378	675	15	12	@.	
1070	693	32	14	[a	
1377	690	3	14	t	
1022	712	14	12	Z	
1280	706	33	15	CN	
1378	710	2	10	if	
1014	756	32	19	Mil	
1061	765	5	3	-	
1079	755	30	19	len	
1123	765	6	3	-	
1147	755	52	18	nium	
1231	754	22	18	be	
1267	763	5	3	-	
1288	753	41	23	gin,	
1351	752	63	19	Come	
1281	807	24	15	Cy	
1282	823	32	15	ph	
1282	839	14	14	t	
1416	957	7	6	>	
1509	962	80	21	——	
1509	994	80	21	Waxman,	
1378	946	16	16	fe:	
1314	972	15	14	@	
1378	979	2	7	i	
1314	989	1	5	:	
1378	987	16	13	w	
1314	1004	3	15	(	
1222	1052	45	44	aay,	
476	1209	42	19	The	
527	1208	69	19	church	
606	1207	67	19	stands	
557	1254	8	7	he	
557	1262	16	7	es:	
1326	1105	5	14	i	
0	0	2220	1785	een	
1363	1105	41	14	oer	
1476	1106	13	12	XN	
1328	1121	3	6	ja	
1363	1121	4	14	|	
0	0	2220	1785	a	
1393	1120	15	15	ND	
1476	1122	13	12	NX	
1317	1093	452	79	Saas	
1317	1200	19	19	In	
1369	1200	33	19	the	
1217	1081	46	47	mae	
1217	1122	15	26	fowl	
1234	1130	82	25	eer	
1217	1155	5	14	L	
1443	1199	53	23	sight	
1505	1198	19	19	of	
1564	1198	34	18	her	
1630	1202	23	14	en	
1666	1206	8	3	-	
1686	1195	80	20	e-mies	
1775	1195	34	18	she	
1575	1243	8	7	b	
1703	1241	10	7	»	
638	1286	15	19	a	
746	1355	98	18	church-es	
1802	1248	65	63	ta	
1929	1246	84	28	S—-N-t	
1837	1348	43	13	sure	
1893	1352	7	3	-	
1912	1342	19	43	f	
1955	1341	23	19	be	
1994	1350	6	4	-	
2016	1340	36	23	gin.	
1315	1246	55	23	ST	
1511	1251	128	16	aaa	
1706	1250	12	10	N	
1316	1270	194	31	SS	
1511	1267	241	33	ee	
1365	1302	5	15	i	
1463	1301	64	15	g_2	
1625	1300	32	14	ce	
1741	1301	12	11	Zz	
1382	1318	16	13	A	
1463	1318	8	6	¥	
1641	1315	10	7	¥	
1227	1351	36	22	sin,	
1302	1349	41	19	The	
1369	1349	37	23	day	
1462	1348	20	19	of	
1506	1348	33	19	the	
1572	1346	32	19	Mil	
