x	y	w	h	content	
1059	103	19	8	Ge	
1090	104	44	11	RP	
1142	103	44	24	RS	
1193	108	12	19	&	
1214	102	95	13	RR	
1326	103	42	29	eels	
1372	104	23	16	yi	
1403	104	12	10	Ba	
1436	104	23	22	Be	
1490	104	5	9	Ct	
1505	104	9	10	Be	
1539	104	9	8	(ah	
1558	105	8	9	Be	
1590	104	9	8	Ch	
1609	106	9	7	BE	
1642	104	6	6	CE	
1660	103	7	9	BR	
1693	102	30	11	Be	
1746	105	6	5	Ce	
1763	101	42	11	BC	
1847	105	8	5	Be	
1899	100	112	11	ROARS	
2020	100	8	11	®	
2053	104	11	5	CO	
2073	98	42	12	Rie	
571	101	183	49	Pines	
826	86	44	53	Ret	
872	90	101	50	Arena	
981	104	25	24	a:	
1003	106	23	15	CH	
1035	104	31	23	IG	
1569	117	2	2	‘	
1783	114	2	2	c	
1836	116	3	2	C	
1542	122	45	11	DY	
1616	119	200	14	DIDO	
1841	121	67	11	SY	
1918	115	146	13	Dewees	
542	120	177	38	EERIE	
720	102	132	48	De	
857	121	155	29	OL	
1011	119	71	31	ot	
1089	107	99	43	DLL	
1193	122	48	27	OL	
1248	106	44	43	OT	
1301	122	249	27	ELLE	
1557	122	145	26	DLEDE	
1716	125	72	21	Di	
1792	118	269	29	DLL	
2076	123	12	22	Sng	
2107	123	9	10	a	
2067	137	79	876	SRS	
750	250	249	53	Paluable	
1029	236	153	77	Song	
1183	239	115	63	and	
1330	127	166	176	me	
1499	250	141	60	Book	
560	487	443	165	Jriginal	
1006	393	452	261	‘Sacred	
1483	466	130	55	J	
1534	463	189	166	Hf	
1561	482	421	179	PLorp	
774	703	199	44	REVISED,	
993	703	255	61	CORRECTED	
1268	680	93	101	AND	
1379	703	233	62	ENLARGED	
1045	770	21	35	\	
1067	809	7	11	\	
1074	821	7	9	\	
532	865	641	176	FANDARD	
1275	861	757	108	MELODIES	
2077	1005	11	17	Oe	
2092	1007	15	13	i	
2113	1007	13	14	a	
582	1058	13	21	:	
595	1036	202	95	lehay	
810	1081	147	41	Sacred	
970	1080	141	50	Songs,	
1127	1080	103	41	Odes	
1243	1083	73	37	and	
1331	1080	216	48	Anthems,	
1564	1079	108	53	Both	
1684	1079	99	40	New	
1795	1083	73	36	and	
1880	1078	78	87	=	
456	1166	110	56	ee,	
579	1175	15	44	:	
722	1182	240	35	THEBEST	
984	1160	224	50	ARRANGED	
1232	1182	120	27	MUSIC	
1374	1182	87	26	AND	
1485	1181	142	27	HYMNS	
480	1224	90	16	age:	
1034	1234	78	26	YET	
1138	1234	218	31	PUBLISHED	
921	1296	41	19	BY	
974	1295	146	20	AUTHORS	
1130	1295	39	19	OF	
1183	1295	81	19	WIDE	
1277	1294	198	20	REPUTATION	
1828	1305	2	2	Bey	
1851	1312	2	2	=	
1906	1278	6	21	‘	
1961	1291	3	3	4	
1996	1288	18	33	.	
380	1365	59	49	.	
456	1385	184	34	ALL	
677	1383	295	33	PLATES	
1009	1382	161	32	AND	
1207	1356	696	62	EVERYTHING:NEW	
769	1476	112	46	Just	
910	1475	100	40	Out	
1066	1491	11	23	:	
1135	1491	10	23	:	
1204	1491	11	23	:	
1271	1474	202	50	August,	
1505	1479	115	34	1911	
968	1561	297	24	ATLANTA,	
1296	1561	257	30	GEORGIA	
1941	1023	215	682	oe	
2094	1588	13	44	Ae	
2115	1586	10	13	w	
2081	1589	8	12	&	
339	1621	137	128	nis	
447	1667	14	21	i	
463	1641	106	65	agence	
594	1665	78	23	Camces	
798	1665	15	22	es	
864	1670	2	2	,	
909	1664	2	2	C	
992	1664	3	3	2	
1023	1663	64	18	ence	
1093	1648	30	56	ke	
1127	1663	33	13	3	
1161	1662	30	25	Cle	
1199	1666	10	9	Be	
1218	1662	54	12	Cs	
1279	1649	52	27	RC,	
1330	1662	19	19	cpa	
1357	1662	22	13	Be	
1383	1664	19	18	ie	
1408	1650	22	25	&	
1435	1661	45	31	eek	
1487	1662	34	16	oh	
1545	1661	61	12	ie	
1615	1664	12	8	&	
1643	1660	87	32	eeeR	
1743	1658	36	34	ee	
1796	1659	38	29	ek	
1848	1658	37	24	JOR	
1893	1658	76	15	CBRE	
1977	1659	8	11	R	
2010	1665	4	4	Cie	
2050	1659	9	13	hE	
468	1682	112	32	FEL	
589	1681	70	58	RAR	
803	1685	285	27	MEPL.	
1098	1674	172	36	OLE	
1270	1671	87	38	CE	
1359	1680	334	28	EE	
1692	1671	278	34	OTR	
