x	y	w	h	content
1236	466	114	52	KEY
1363	466	34	50	B
2452	412	59	58	15
1424	748	53	44	Do
1485	748	48	44	Re
1541	749	51	43	Mi
1600	749	52	43	Fa
1659	749	60	44	Sol
1726	748	53	45	La
1785	747	44	47	Ti
1835	746	76	49	Do.
413	858	62	85	9
630	1073	116	52	KEY
763	1071	34	54	F
1876	1068	113	56	KEY
2001	1070	49	54	F.
687	1322	63	45	Do
760	1324	60	44	Re
830	1326	66	42	Mi
903	1327	57	42	Fa
967	1327	75	43	Sol
1049	1326	57	44	La
1113	1325	55	46	Ti
1174	1324	70	48	Do.
1934	1324	59	44	Do
2008	1327	57	42	Re
2075	1328	67	42	Mi
2150	1329	56	41	Fa
2216	1329	73	42	Sol
2296	1328	57	43	La
2363	1327	53	43	Ti
2424	1325	56	45	Do
1249	1615	117	56	KEY
1381	1615	72	57	Bb.
1517	1814	95	36	-A-
1300	1895	59	46	Do
1393	1897	56	45	Re
1480	1899	63	43	Mi
1552	1900	54	43	Fa
1630	1900	76	43	Sol
1723	1900	58	43	La
1810	1899	56	44	Ti
1880	1898	61	45	Do.
1789	1962	20	39	-
1815	1960	100	33	80
1112	2168	161	35	tobyright,
1280	2166	71	36	1867,
1358	2165	47	37	by
1412	2164	44	38	A.
1463	2164	29	38	J.
1500	2164	95	38	SHOW
1602	2163	102	40	ALTER
1712	2163	29	40	&
1749	2163	48	41	CO.
