x	y	w	h	content
639	380	44	44	6
697	463	80	54	42.
786	463	144	55	Which
939	463	100	56	beat
1049	463	54	56	in
1119	464	133	56	double
1261	464	186	56	measure
1456	464	47	56	is
1513	464	79	56	the
1602	464	114	56	ao-|
1754	464	86	56	51.
1857	464	138	56	Which
2006	464	96	56	beat
2113	464	35	56	is
2159	464	173	55	accented
2343	464	28	55	!
642	523	137	48	vented
787	522	73	48	one
869	521	21	48	?
1761	524	84	56	The
1856	528	108	55	first.
703	572	85	52	The
798	574	102	51	first.
695	638	79	58	43.
786	641	129	58	What
927	645	140	56	means
1079	647	71	55	are
1163	648	209	53	sometimes
1384	647	93	53	used
1489	645	46	55	to
1547	644	75	54	aid
1634	642	38	55	in
1755	599	88	57	52.
1854	599	99	58	How
1971	600	47	58	is
2030	601	127	58	Triple
2168	602	175	58	measure
2355	603	159	58	counted
2527	604	24	57	!
650	700	210	53	developing
872	699	33	54	a
927	699	119	54	sense
1061	699	58	54	of
1129	699	72	54	the
1218	698	200	54	rhythmic
1430	697	88	54	flow
1547	697	57	53	of
1612	696	65	53	the
1756	663	106	58	One,
1873	666	99	56	two,
1982	669	127	52	three.
640	747	110	55	beats,
761	749	43	54	so
815	749	86	55	that
911	750	54	54	we
975	751	90	54	may
1075	751	112	54	learn
1196	752	41	53	to
1246	752	88	54	sing
1342	752	49	54	or
1399	751	96	55	play
1503	751	45	55	in
1556	750	89	56	time
1652	750	18	55	?
1758	732	86	61	53.
1853	735	181	61	Describe
2044	738	66	60	the
2120	739	111	60	beats
2242	739	61	61	of
2314	739	65	61	the
2391	739	118	61	hand.
692	803	208	57	Counting
913	803	115	57	Time
1039	803	88	57	and
1138	803	176	57	Beating
1326	804	128	55	Time.
1762	798	146	59	Down,
1921	801	76	58	left
2011	802	94	59	up;
2118	804	57	58	or
2189	805	127	59	down,
2330	807	113	60	right
2456	808	68	60	up.
695	872	79	57	44.
786	872	119	59	What
916	873	51	59	is
978	873	200	60	Counting
1193	875	131	58	Time!
1758	872	88	55	54.
1859	873	126	59	What
1995	875	37	59	is
2042	875	71	61	the
2123	876	91	63	sign
2225	877	77	64	for
2316	877	128	66	Triple
2455	878	206	67	measure?
694	929	220	55	Indicating
925	932	96	53	each
1032	933	88	53	beat
1132	934	42	52	of
1185	934	24	52	a
1221	934	177	54	measure
1410	934	55	54	by
1477	934	191	57	counting.
1763	937	86	58	The
1861	938	132	58	figure
2005	941	34	56	3.
693	997	83	60	45.
789	999	121	60	What
923	1002	45	58	is
980	1002	175	60	Beating
1171	1004	95	59	Time
1278	1005	26	58	?
697	1059	223	54	Indicating
930	1059	97	55	each
1040	1060	94	56	beat
1144	1060	58	57	of
1212	1061	33	56	a
1260	1061	186	58	measure
1458	1062	63	58	by
1539	1063	34	57	a
1588	1063	99	58	mo-
1701	1065	99	57	four
1808	1066	103	56	beats
1918	1067	29	56	?
1757	1008	87	57	55.
1855	1011	126	59	What
1991	1014	46	58	is
2047	1015	77	59	the
2135	1017	129	60	name
2279	1019	55	59	of
2349	1020	34	59	a
2405	1021	184	59	measure
2601	1022	142	57	having
638	1110	87	52	tion
736	1111	57	52	of
804	1111	70	52	the
885	1113	108	51	hand
1758	1132	233	59	Quadruple
2004	1135	190	56	Measure.
696	1183	83	54	46.
789	1184	97	54	How
923	1184	55	56	do
992	1185	69	55	we
1078	1185	130	57	count
1218	1185	76	57	the
1318	1186	113	57	Time
1449	1186	51	58	in
1531	1186	141	58	Double
639	1244	167	47	measure
816	1246	26	46	?
1755	1203	85	57	56.
1853	1204	89	58	How
1955	1204	60	59	are
2027	1205	54	59	the
2093	1205	148	61	accents
2253	1206	46	61	in
2311	1207	224	61	Quadruple
2547	1208	195	61	measure!
692	1294	108	52	One,
808	1296	95	51	two.
1761	1263	82	58	The
1855	1266	89	58	first
1956	1269	96	57	beat
2064	1271	38	56	is
2114	1272	75	57	the
2200	1273	176	57	primary
2388	1275	179	55	accented
2578	1276	75	53	one
2665	1275	74	53	and
698	1356	80	61	47.
790	1357	176	64	Describe
978	1360	65	63	the
1055	1361	111	64	beats
1178	1362	41	64	of
1232	1363	64	64	the
1309	1363	121	65	hand
1443	1364	76	65	for
1532	1365	140	65	Double
1699	1323	74	53	the
1782	1324	115	55	third
1907	1325	94	56	beat
2011	1326	40	56	is
2061	1326	74	57	the
2145	1327	218	59	secondary
2373	1329	187	60	accented
2571	1331	80	58	one.
641	1422	185	53	measure.
1753	1390	86	60	57.
1850	1391	100	63	How
1984	1393	52	63	is
2051	1394	74	64	the
2136	1395	104	66	time
2255	1397	178	67	counted
2444	1398	52	66	in
2519	1398	219	67	Quadruple
698	1468	142	59	Down,
852	1477	67	53	up.
1699	1456	184	47	measure.
701	1536	71	58	48.
784	1538	124	61	What
921	1542	34	59	is
968	1543	66	60	the
1047	1545	95	60	sign
1162	1547	73	60	for
1248	1548	145	60	Double
1406	1549	167	59	measure
1586	1549	27	59	?
1753	1504	107	57	One,
1870	1506	100	57	two,
1980	1508	131	55	three,
2122	1507	99	54	four.
700	1594	81	57	The
792	1596	131	56	figure
933	1601	34	51	2.
1756	1577	79	58	58.
1848	1577	179	61	Describe
2040	1577	64	62	the
2117	1577	101	64	beats
2231	1577	50	64	of
2294	1577	72	65	the
2378	1577	120	65	hand
2511	1577	76	66	for
2610	1577	116	65	Quad
696	1665	75	59	49.
784	1667	130	61	What
927	1670	82	60	does
1022	1671	61	60	the
1095	1671	123	61	lower
1231	1672	134	61	figure
1378	1672	116	60	denote
1506	1671	28	61	?
1697	1635	113	53	ruple
1822	1636	181	58	measure.
643	1781	43	47	to
700	1781	77	48	one
787	1782	93	51	beat.
699	1723	85	53	The
795	1724	106	54	kind
912	1726	44	53	of
967	1727	96	54	note
