x	y	w	h	content
801	423	230	68	LESSON
1058	421	70	70	III.
1858	430	227	66	LESSON
2119	430	69	66	IV.
499	511	80	50	28.
601	513	131	50	What
750	515	220	50	represents
989	515	73	51	the
1078	515	165	51	relative
1272	513	145	54	Length
1563	511	80	56	33.
1653	514	118	57	What
1781	517	73	56	are
1865	519	214	58	pulsations
2090	522	44	56	of
2146	522	61	56	the
2219	523	123	56	mind,
2354	523	168	56	produce
448	571	96	49	somes
555	572	28	49	?
1507	576	54	45	by
1572	575	145	47	music,
1725	573	124	48	called
1857	572	25	49	?
496	629	230	55	Characters
737	629	134	57	called
882	628	140	58	Notes.
1563	622	123	52	Beats.
498	711	84	55	29.
593	711	98	56	How
706	711	126	57	many
843	711	131	59	kinds
985	712	52	59	of
1048	712	109	60	notes
1168	713	53	60	in
1232	713	158	62	general
1401	715	81	61	use,
1561	692	81	58	34.
1653	694	125	59	What
1789	696	37	58	is
1837	697	37	58	a
1885	697	136	59	strong
2032	699	91	58	beat
2135	700	117	58	called
2264	700	25	58	?
451	768	78	51	End
539	766	109	52	what
658	765	72	53	are
740	765	105	53	their
855	766	129	53	names
994	768	34	51	?
1561	752	199	53	Accented
1771	752	107	53	beat.
494	823	109	59	Six.
638	824	87	58	The
736	824	129	60	whole
876	825	103	60	note,
990	827	65	58	the
1066	828	91	58	half
1168	829	103	58	note,
1282	831	69	57	the
1361	832	115	58	quar-
1561	821	79	57	35.
1653	822	121	56	What
1787	823	41	55	is
1840	823	33	55	a
1886	824	106	56	weak
2005	824	90	58	beat
2108	824	152	62	called?
455	886	49	47	er
513	886	113	49	note,
635	885	73	51	the
717	885	137	53	eighth
869	884	107	54	note,
985	884	74	54	the
1067	884	196	54	sixteenth
1277	885	114	52	note,
1399	885	77	51	and
1563	877	244	56	Unaccented
1819	881	106	52	beat.
449	935	62	52	the
523	936	281	54	thirty-second
817	939	114	53	note.
1558	946	79	60	36.
1650	949	118	60	What
1781	953	41	57	is
1835	954	33	57	a
1881	955	168	58	measure
2062	959	33	55	!
882	1026	162	55	NOTES.
1565	1007	32	53	A
1612	1008	179	58	measure
1803	1010	39	57	is
1853	1011	30	56	a
1894	1011	132	59	group
2037	1011	57	60	of
2105	1012	84	59	two
2200	1012	51	60	or
2261	1012	112	60	more
2383	1011	116	60	beats
484	1095	152	54	Whole
677	1098	118	53	Half
833	1100	183	52	Quarter
1057	1102	107	49	8th.
1199	1104	127	47	16th.
1361	1105	79	45	32d.
1558	1076	80	59	37.
1652	1078	117	59	What
1782	1079	215	61	represents
2010	1083	28	57	a
2051	1084	169	57	measure
2234	1087	24	54	?
493	1160	107	41	note.
677	1162	92	37	note
860	1160	97	43	note.
1041	1164	117	40	note.
1197	1163	114	42	note.
1347	1166	108	45	note.
1563	1135	83	54	The
1655	1135	117	57	space
1782	1136	178	60	between
1969	1137	87	60	two
2065	1137	305	63	perpendicular
2379	1138	103	62	lines.
1383	1229	43	102	E
1557	1256	122	56	Bars.
1557	1202	80	61	38.
1650	1204	122	62	What
1785	1206	72	62	are
1870	1207	60	62	the
1943	1208	299	64	perpendicular
2256	1210	98	63	lines
2368	1211	136	62	called
495	1346	84	56	30.
587	1348	138	56	What
741	1351	232	56	characters
994	1354	86	54	are
1101	1355	106	54	used
1229	1355	53	54	to
1307	1355	163	53	indicate
1554	1330	84	60	39.
1650	1332	128	60	What
1790	1334	87	60	does
1889	1335	30	60	a
1931	1336	129	60	broad
2072	1337	79	61	bar
2164	1337	165	62	usually
2343	1337	115	63	denote
2472	1337	28	63	?
499	1413	130	55	Rests.
1289	1416	16	55	[
1314	1417	166	56	silence?
1563	1387	83	54	The
1656	1389	84	55	end
1750	1390	57	55	of
1817	1391	30	55	a
1857	1391	168	58	musical
2035	1393	161	58	phrase,
2206	1394	50	57	or
2266	1394	74	58	the
2350	1394	84	57	end
2444	1394	57	57	of
2514	1394	14	57	a
1499	1438	83	55	line
1595	1442	59	52	of
1666	1444	143	53	words.
495	1490	86	58	31.
592	1491	100	59	How
703	1492	126	60	many
840	1493	97	60	rests
948	1494	48	59	in
1007	1494	160	59	general
1178	1494	63	59	use
1252	1494	26	59	?
494	1555	101	54	Six.
1558	1513	79	53	40.
1647	1514	135	56	What
1793	1514	82	58	does
1886	1515	75	59	the
1975	1515	129	61	double
2114	1516	79	62	bar
2204	1517	165	62	usually
2382	1518	132	61	denote
1558	1567	85	55	The
1653	1570	85	54	end
1748	1572	60	53	of
1819	1573	28	53	a
1858	1573	274	57	composition.
495	1637	87	59	32.
594	1638	53	59	As
659	1639	53	58	to
724	1639	191	60	duration,
926	1641	103	58	rests
1041	1642	233	58	correspond
1285	1642	43	59	to
1339	1642	99	59	what
1449	1642	20	59	?
2140	1639	88	50	Broad
2438	1643	84	47	Dough
499	1703	58	55	To
568	1703	112	55	notes
692	1704	57	55	of
761	1704	68	55	the
841	1705	118	55	same
972	1706	292	59	denomination.
1607	1690	137	53	Measure.
1821	1691	90	52	Bar.
1943	1693	143	55	Measure.
2151	1696	76	46	Bar.
