x	y	w	h	content
2257	309	149	57	1888
1172	413	284	80	INDEX
1503	414	126	79	OF
1676	413	515	79	SUBJECTS.
2258	384	140	62	Clas
618	630	202	43	ACTIVITY.-
850	627	28	46	.
885	626	55	47	11,
947	625	61	49	30,
1016	625	55	49	49,
1078	624	61	50	80,
1146	623	78	51	109,
1231	623	77	51	112,
1315	622	80	52	127,
1402	622	75	52	128,
1484	621	80	53	156,
1571	621	83	52	167,
1661	621	29	52	|
1704	621	149	51	INFANT
1859	622	221	49	CLASS.-21,
2085	623	60	47	24,
2150	624	63	46	92,
2218	625	63	44	96,
2286	625	72	43	148.
687	677	81	40	238,
775	677	75	42	246.
1708	675	118	48	JESUS,
1835	675	262	50	PRECIOUS.-5,
2106	674	56	51	40,
2170	674	59	51	41,
2238	674	53	51	43,
2300	674	56	51	48,
2364	674	59	52	50,
2432	674	56	52	75,
2497	674	77	52	175,
2583	674	77	52	203,
2669	675	71	51	260.
611	732	415	38	ANNIVERSARIES.-142.
610	777	118	46	BIRTH
747	778	51	44	OF
811	778	241	43	CHRIST.-10,
1061	776	59	45	17,
1128	775	77	46	161,
1214	774	65	48	184.
1706	725	178	47	JOY.-32,
1893	721	57	51	85,
1958	722	81	51	202,
2046	725	82	49	206.
610	832	218	42	BIBLE.-27,
837	826	57	47	76,
903	825	78	48	119,
990	826	75	47	132.
1704	774	122	53	JESUS,
1836	776	84	50	OUR
1929	776	257	49	FRIEND.-61,
2196	776	56	49	98,
2261	776	78	49	163,
2348	775	70	50	170.
610	882	121	44	BLOOD
748	882	54	44	OF
818	882	212	44	JESUS.-20,
1038	880	80	46	101,
1126	878	79	48	165,
1213	877	77	49	171,
1297	875	80	51	174,
1385	874	74	52	223.
1708	829	200	50	JUDGMENT
1918	828	214	49	DAY.-143,
2142	829	91	47	205.
1704	878	103	50	LOVE
1815	880	53	49	OF
1876	881	227	50	CHRIST.-2,
2110	882	61	48	58,
2177	881	80	48	141,
2263	881	80	46	240,
2349	879	81	46	263.
610	932	196	45	CHILDREN
816	934	54	43	OF
878	934	30	43	A
915	934	185	42	KING.-9.
1705	928	108	51	LOVE
1824	931	78	49	FOR
1916	932	85	48	THE
2011	933	159	46	CHURCH.
2179	934	110	44	-268.
609	983	138	45	CHRIST
754	982	32	46	A
796	982	213	45	ROCK.-44,
1016	981	79	45	131,
1102	981	80	45	149,
1188	982	77	43	220.
1701	981	340	53	MISSIONARY.-55,
2050	983	56	51	78,
2115	983	78	51	113,
2202	983	79	50	115,
2290	982	82	50	145,
2380	982	76	48	173.
608	1037	158	41	CLOSING
776	1034	258	44	HYMN.-198.
609	1089	146	43	COMING
764	1086	51	46	OF
826	1085	265	47	CHRIST.-121,
1100	1083	76	49	180,
1185	1084	72	48	231.
1702	1033	419	51	MISCELLANEOUS.-16,
2130	1035	56	50	25,
2195	1035	63	50	34,
2267	1035	56	51	36,
2332	1035	60	51	39,
2401	1035	62	52	71,
2473	1036	56	52	84,
2538	1036	59	52	91,
2607	1036	55	53	97,
2673	1036	67	54	10%,
610	1140	145	45	COMING
765	1138	45	46	TO
820	1138	240	44	CHRIST.-65,
1070	1136	58	46	74,
1137	1136	76	45	182,
1223	1136	75	45	186,
1308	1136	79	45	195,
1397	1136	78	45	208,
1485	1136	76	45	212,
1570	1137	73	44	242.
1782	1082	77	50	104,
1867	1084	80	51	122,
1955	1085	77	51	123,
2040	1086	81	51	137,
2129	1087	77	51	153,
2214	1087	80	50	177,
2302	1088	78	48	178,
2387	1088	81	47	196,
2475	1087	78	46	209.
608	1191	374	42	CONSECRATION.-89,
990	1189	56	44	94,
1054	1189	77	43	162,
1139	1188	77	43	199,
1224	1188	80	43	255,
1312	1187	84	43	262,
1403	1187	75	42	264.
1701	1148	173	49	PARTING
1883	1147	139	51	HYMNS.
2031	1147	97	52	-46,
2137	1148	61	51	63,
2207	1148	55	51	72,
2271	1148	79	50	116,
2359	1148	66	50	207.
607	1243	356	43	DEPENDENCE.-42,
969	1240	82	46	124,
1057	1240	79	45	125,
1142	1239	71	45	197.
1704	1198	138	48	POWER
1854	1198	54	49	OF
1920	1198	139	50	CHRIST.
2067	1199	104	50	-47,
2178	1200	59	49	52,
2244	1201	81	48	225,
2331	1201	72	48	237.
610	1294	339	44	EXPERIENCE.-23,
957	1290	60	48	56,
1025	1289	65	49	57,
1098	1289	91	49	140,
1197	1288	84	50	160,
1289	1287	90	51	169,
1387	1287	90	52	180,
1486	1286	74	54	201,
1568	1285	69	55	216,
1702	1250	243	49	PRAISE.-12,
1955	1250	56	50	33,
2021	1250	56	50	77,
2087	1250	53	50	81,
2150	1250	78	51	200,
2237	1251	78	50	230,
2325	1251	75	50	232,
2409	1251	79	51	248,
2497	1252	78	50	249,
2585	1252	78	50	252,
2672	1253	66	49	269,
689	1344	78	46	251,
775	1344	78	46	257,
861	1344	75	47	259.
1784	1305	79	44	271.
608	1397	198	45	FUNERALS.
813	1396	80	45	-7,
900	1394	72	46	250.
1703	1361	265	53	PRAYER.-22,
1977	1365	55	49	79,
2040	1365	77	50	100,
2126	1366	77	50	105,
2212	1366	86	50	106,
2307	1366	89	51	108,
2405	1366	83	51	111,
2498	1366	76	51	118,
2583	1365	80	51	136,
2672	1364	67	52	144,
609	1445	206	47	FAITH.-8,
823	1445	58	47	37,
890	1444	76	48	155,
975	1444	76	48	166,
1060	1444	77	48	190,
1145	1444	74	47	204,
1228	1444	76	47	228,
1313	1443	76	48	234,
1398	1443	77	48	247,
1483	1443	80	48	258,
1572	1442	73	49	261,
1783	1417	87	48	157,
1878	1416	77	50	158,
1963	1416	80	51	176,
2051	1416	77	52	179,
2136	1416	77	52	192,
2221	1416	81	53	218,
2310	1416	77	53	224,
2395	1416	80	53	236,
2483	1416	80	52	256,
2571	1416	74	52	277.
689	1500	60	38	274.
1705	1488	221	48	REST.-107,
1935	1489	78	48	219,
2022	1490	78	47	222,
2109	1490	69	47	270.
608	1551	219	42	FOLLOWING
836	1549	141	44	CHRIST.
983	1548	102	45	-83,
1090	1547	62	46	99,
1157	1546	81	47	117,
1243	1545	81	48	146,
1329	1544	73	49	213.
1703	1540	320	49	SALVATION.-35,
2031	1543	57	46	88,
2096	1543	79	46	126,
2183	1543	79	46	133,
2269	1542	77	47	191.
608	1598	109	46	GOD'S
725	1598	107	46	CARE.
840	1598	98	46	-67,
945	1599	84	44	239,
1036	1600	78	42	:67.
1703	1595	312	42	SECURITY.-253,
2023	1593	77	45	254,
2108	1594	71	46	276.
607	1651	131	43	GRACE.
745	1649	102	43	-66,
855	1648	78	41	266.
1707	1645	388	45	TEMPERANCE.-152.
607	1705	108	42	HOPE.
722	1701	100	45	-50,
828	1699	81	46	211,
915	1698	78	47	235.
1707	1694	366	50	VOLUNTARIES.-14,
2080	1695	58	50	17,
2145	1696	66	49	22,
2218	1696	66	50	23,
2292	1696	66	50	40,
