x	y	w	h	content
987	446	118	69	THE
1127	447	493	68	STAR-SPANGLED
1647	448	254	65	BANNER.
2000	474	82	43	Warda
2089	474	38	43	by
2134	474	137	42	FRANCIS
2280	472	28	44	S.
2317	471	90	44	KEY.
2417	468	54	46	43
602	527	52	37	All
661	526	60	38	the
733	526	108	39	Voices
848	526	37	39	in
905	526	127	42	Unison.
634	765	69	34	Oh,
780	763	52	36	say
839	763	57	36	can
903	763	61	35	you
983	762	76	36	see,
1075	762	43	35	by
1125	762	59	35	the
1194	761	108	36	dawn's
1309	761	85	35	early
1402	761	84	35	light,
1494	761	134	35	Whatso
1645	761	127	35	proudly
1780	762	49	34	we
1844	762	105	34	hailed
1967	763	34	33	at
2009	763	58	34	the
2087	764	153	34	twilight's
2248	765	55	33	last
2312	766	171	33	gleaming;
585	790	103	39	Whose
700	791	87	38	broad
798	792	106	36	stripes
915	792	58	36	and
984	793	98	34	bright
1093	793	74	34	stars
1178	793	74	34	thro'
1263	794	47	33	the
1321	794	125	32	perilous
1456	794	78	32	fight,
1544	795	61	31	O'er
1616	795	48	32	the
1674	795	149	32	ramparts
1834	795	43	32	we
1887	795	133	33	watched
2030	796	75	32	were
2115	796	30	32	so
2155	796	139	33	gallantly
2304	796	165	35	streaming
2479	796	4	35	:
639	823	43	36	On
689	823	50	36	the
746	823	92	36	shore
845	823	104	36	dim-ly
975	824	71	35	seen
1053	824	78	35	thro'
1138	824	59	35	the
1206	824	85	35	mists
1298	824	41	35	of
1345	824	60	35	the
1416	824	79	35	deep,
1501	825	109	34	Where
1617	825	55	34	the
1678	825	77	35	foe's
1761	826	135	34	haughty
1903	826	69	34	host
1978	827	36	33	in
2021	827	93	34	dread
2120	827	109	34	silence
2236	828	41	34	re
2285	828	20	34	-
2311	828	65	34	pos-
2382	829	55	34	es,
612	851	82	38	What
702	852	33	38	is
743	853	70	37	that
821	854	95	37	which
923	855	51	36	the
982	855	182	37	breeze,o'er
1172	856	53	36	the
1233	856	153	36	towering
1411	856	102	35	steep,
1521	855	48	36	As
1581	855	37	36	it
