x	y	w	h	content
685	465	59	48	16
901	549	104	49	KEY
1029	549	67	50	EP.
2302	548	113	52	KEY
2434	547	68	54	Ab.
886	775	52	45	Do
946	775	46	44	Re
1000	775	52	44	Mi
1060	775	109	44	FaBol
1178	774	93	45	LaTi
1280	773	62	47	Do.
2311	777	57	42	Do
2375	775	54	44	Re
2436	774	51	45	Mi
2494	774	109	47	Fasol
2611	773	97	50	LaTi
2717	773	55	51	Le
1641	1097	112	56	KEY
1767	1097	77	56	Db.
1630	1323	50	48	Do
1690	1325	44	47	Re
1743	1326	48	46	Mi
1800	1327	109	46	FaSol
1917	1327	96	46	LaTi
2021	1325	69	48	Do.
931	1654	109	54	KEY
1056	1658	74	50	GD.
2332	1651	106	57	KEY
2461	1658	35	52	A
2518	1660	170	55	MINOR.
949	1912	51	41	Do
1007	1913	51	40	Re
1066	1913	53	40	Mi
1126	1913	112	42	Fasol
1245	1913	93	44	LaTi
1345	1913	57	45	Do.
2313	1901	52	54	La
2376	1904	41	52	Ti
2428	1905	52	52	Do
2491	1907	48	52	Re
2551	1909	47	51	Mi
2610	1910	51	51	Fa
2673	1911	44	52	Si
2729	1912	61	53	La
1393	2200	166	46	Copyright,
1570	2202	69	44	1867,
1649	2203	43	43	by
1702	2203	37	43	A.
1749	2204	25	42	J.
1785	2204	92	42	SHOW
1888	2205	101	40	ALTER
2000	2207	22	38	&
2032	2207	52	37	Co.
