x	y	w	h	content
451	1509	65	33	the
522	1508	159	33	swelling
689	1502	92	38	flood
1285	1502	51	27	116
2302	1489	36	26	66
2379	1461	41	36	13
301	1547	140	31	Blessed
453	1545	104	32	home
1221	1525	34	28	66
1377	1500	125	30	Golden
1520	1498	85	32	light
1224	1559	33	31	66
1300	1533	34	31	28
1377	1534	93	32	Gone
1484	1535	98	32	home
2301	1527	33	24	66
2380	1499	37	35	36
299	1582	143	29	Blessed
454	1577	117	36	words
302	1619	87	30	Book
408	1616	41	33	of
457	1615	99	33	grace
568	1612	67	36	and
647	1610	85	39	book
748	1607	39	42	of
796	1606	93	45	glory
1221	1594	35	29	66
1285	1572	53	30	178
1376	1569	217	37	Good-night
2397	1534	24	36	7
1221	1632	9	29	6
1235	1632	20	28	6
1300	1607	38	27	27
300	1653	186	31	Boylston,
491	1648	42	36	S.
538	1647	59	36	M.
1224	1666	32	31	86
1281	1640	57	30	222
1376	1606	180	32	Gratitude
1571	1603	47	36	L.
1628	1602	54	38	M.
2272	1574	92	34	Page
2376	1572	39	33	66
1377	1642	110	31	Guide
1500	1641	45	33	us
1553	1641	82	34	ever
2284	1607	70	31	No.
2361	1606	48	36	262
2359	1639	57	32	157
302	1691	160	29	Bringing
480	1684	31	36	in
529	1683	58	36	the
599	1681	141	36	sheaves
302	1727	102	27	Bring
420	1722	79	30	them
525	1719	38	33	to
573	1718	60	34	the
643	1718	73	35	fold
1224	1702	31	29	66
1281	1676	56	30	145
1377	1685	115	34	Hark,
1500	1683	59	35	the
1570	1682	110	36	trump
1696	1681	40	37	of
1745	1681	72	38	God
1828	1682	33	37	is
1871	1682	163	39	sounding
2299	1685	41	24	66
301	1760	52	33	By
362	1758	72	32	and
443	1755	49	34	by
507	1753	125	33	(Dale)
1226	1735	29	29	66
1298	1706	40	33	24
1298	1748	39	29	52
1379	1719	116	35	Hark,
1504	1720	60	35	the
1574	1721	96	35	voice
1680	1721	39	36	of
1727	1720	110	39	cesus
1866	1718	23	42	.
2380	1688	41	34	71
2303	1755	31	22	66
2379	1720	38	35	69
301	1797	53	31	By
364	1794	69	32	and
443	1791	49	35	by
508	1790	137	40	(Perry)
1224	1774	29	26	66
1379	1753	127	38	Happy
1519	1754	44	37	on
1576	1754	64	37	the
1647	1754	80	37	way
1280	1786	57	34	215
1378	1788	97	37	Have
1491	1790	62	36	you
1569	1790	104	37	heard
1686	1790	59	37	the
1756	1789	84	37	good
1853	1787	95	37	news
2303	1789	30	20	66
2361	1760	55	31	206
1283	1826	55	31	184
1378	1827	215	33	Hawthorn,
1599	1826	40	34	S.
1645	1825	56	34	M.
2377	1792	38	31	88
299	1837	197	31	Christmas
500	1835	107	33	carol
619	1831	10	37	.
2302	1824	31	24	66
301	1877	121	31	Christ
428	1873	79	34	will
511	1871	105	35	guide
623	1868	49	38	us
1224	1854	29	25	66
1282	1862	53	30	239
1378	1862	97	34	Hear
1483	1862	76	34	me,
1565	1862	146	33	Saviour
2303	1860	31	21	66
2361	1831	54	29	265
301	1911	122	30	Christ
430	1907	74	33	will
509	1905	196	31	strengthen
720	1902	79	31	thee
1223	1893	31	27	66
1282	1897	53	28	124
1379	1897	95	35	Hear
1485	1897	61	35	the
1553	1897	137	35	blessed
1698	1897	149	36	promise
2303	1892	31	25	66
2358	1864	59	31	100
306	1947	73	31	City
394	1945	43	32	of
443	1943	93	31	light
1225	1925	30	25	66
1283	1938	50	24	226
1379	1932	139	37	Heaven
1529	1933	23	37	.
2362	1898	55	27	122
2293	1930	43	21	166
300	1980	164	32	Clinging
473	1977	39	34	to
528	1976	91	34	Thee
1224	1962	8	22	6
1238	1963	13	22	6
1283	1970	53	27	154
1379	1967	182	35	Heavenly
1570	1967	81	35	rest
2304	1965	29	22	66
2377	1937	41	28	14
300	2015	100	32	Cling
413	2015	38	31	to
468	2014	104	27	Jesus
1227	1995	26	25	66
1284	2004	51	29	125
1378	2001	186	39	Heaven's
1570	2002	63	38	my
1639	2001	103	40	home
2305	1999	31	25	66
2360	1971	57	30	219
302	2052	102	30	Come
417	2051	116	28	to-day
1228	2033	25	22	66
1301	2040	35	31	54
1379	2038	162	35	Hebron,
1548	2037	46	37	L.
1601	2036	58	40	M.
2362	2004	57	29	172
302	2087	102	31	Come
417	2085	37	32	to
466	2084	102	32	Jesus
577	2082	163	31	(Tenney)
1381	2078	50	28	He
1448	2076	61	31	has
1523	2073	111	34	come,
1639	2071	58	36	the
1713	2070	117	36	Prince
1845	2070	37	36	of
1894	2071	104	33	Peace
2305	2064	31	26	66
2362	2037	56	30	251
1302	2079	37	23	15
1301	2112	37	27	45
2379	2076	36	32	10
302	2125	101	29	Come
416	2122	37	32	to
467	2121	104	32	Jesus
582	2117	154	31	(English
1382	2109	88	33	Help
1483	2109	56	34	me
1549	2109	42	34	or
1600	2110	23	34	I
1630	2110	57	34	die
1701	2111	6	33	.
303	2160	101	29	Come
416	2158	33	30	to
462	2156	59	31	the
534	2154	117	29	woody
