x	y	w	h	content
781	397	180	79	WHEN
995	406	162	79	THEY
1182	414	117	77	ALL
1319	420	180	80	COME
1520	428	162	79	BACK
1712	436	216	81	AGAIN.
1967	447	276	82	Concluded.
2503	477	49	52	41
613	476	274	46	SEMI-CHORUS.
632	713	69	31	And
764	720	43	28	we
887	721	73	34	fond
1037	730	30	27	ly
1165	731	73	36	view
1266	738	54	34	the
1403	747	27	26	fu
1529	750	82	37	ture,
1686	749	97	40	When
1797	759	65	35	they
1935	771	44	25	all
2056	772	90	30	come
2163	775	78	31	back
618	743	93	29	Speed
2421	787	74	31	gain
650	768	58	30	We
756	747	52	29	the
883	755	62	29	hap
1044	758	39	31	py
1165	767	85	32	hour
1280	768	40	33	of
1386	776	83	32	meet
1936	794	41	30	all
2307	785	24	35	a
2418	819	86	27	gain.
755	776	69	33	will
1679	785	98	36	When
1796	791	66	32	they
2058	802	87	28	come
2164	804	76	32	back
862	787	103	27	strike
1023	786	75	33	glad
1155	796	107	36	hands
1271	799	51	36	for
1405	807	36	25	ev
1540	782	66	35	ing,
1550	812	42	34	er,
1681	817	41	26	Be
1814	818	18	29	u
1934	821	52	30	nit
2084	834	29	20	ed
2191	835	40	26	all
2417	847	80	27	gain.
535	1091	25	40	U
599	1090	273	48	FULL-CHORUS.
2303	1327	26	39	A
583	1329	99	44	When
726	1337	81	40	they
862	1345	45	34	all
1090	1361	94	31	come
1209	1362	80	32	back
824	1370	101	42	When
938	1378	78	39	they
1038	1385	42	34	all
1089	1387	96	34	come
1207	1393	83	29	back
1354	1380	14	25	a
1439	1371	98	36	gain,
1563	1374	100	37	When
1697	1381	78	35	they
1838	1386	42	28	all
2063	1398	91	28	come
2172	1398	74	33	back
1805	1411	95	37	When
1917	1418	77	34	they
2006	1422	47	32	all
2061	1425	91	31	come
2169	1429	77	28	back
2392	1409	69	29	gain
2475	1412	4	28	;
1399	1401	14	28	-
1439	1404	86	33	gain,
2349	1437	14	26	-
2391	1438	68	31	gain
2474	1442	10	28	;
1474	1457	15	25	A
592	1916	74	41	Oh,
708	1923	62	33	the
822	1935	102	31	grand
989	1936	63	35	and
1115	1947	51	33	glo
1181	1948	18	33	-
1208	1949	90	36	rious
1328	1953	89	37	meet
1443	1958	17	33	-
1491	1960	68	35	ing,
1635	1959	99	38	When
1745	1968	77	30	they
1887	1972	48	25	all
1992	1975	95	32	come
2115	1978	80	30	back
2268	1983	17	28	a
2319	1985	17	29	.
2361	1987	89	33	gain.
